question_id,graph_id,query_type,gia_tri_cong_bo,gia_tri_dung,nguong,nhan,nhan_di_theo
8128,mediation,marginal,0.5126621700205721,0.4978423384138153,0.5,yes,hong
11250,frontdoor,marginal,0.49875349599463537,0.5016579931281132,0.5,no,hong
24368,arrowhead,ate,0.02273043444965206,-0.0009680133657715695,0.0,yes,hong
44271,arrowhead,ett,0.003166575301128627,-0.002133392830351176,0.0,no,hong
50904,confounding,marginal,0.5158733581633389,0.4973328098480635,0.5,yes,hong
50983,mediation,marginal,0.49874170478734475,0.5508345324028476,0.5,yes,hong
51202,frontdoor,marginal,0.5027725283467511,0.4846248533700211,0.5,yes,hong
51203,frontdoor,marginal,0.5027725283467511,0.4846248533700211,0.5,no,hong
51542,diamond,marginal,0.5239239518226557,0.48610362923355255,0.5,yes,hong
51543,diamond,marginal,0.5239239518226557,0.48610362923355255,0.5,no,hong
52055,confounding,marginal,0.5149498414267827,0.4814923158040798,0.5,no,hong
52434,arrowhead,ate,0.008676092162027693,-0.02443590704048093,0.0,yes,hong
52436,arrowhead,ett,0.008676092162027804,-0.024435907040481084,0.0,no,dung
52476,arrowhead,ate,0.002976020892881015,-0.04098693392395614,0.0,no,dung
52483,arrowhead,nde,0.006344230429698894,-0.010938176963413149,0.0,no,hong
52540,arrowhead,marginal,0.503546752241722,0.48094868047570194,0.5,yes,hong
53293,mediation,marginal,0.5637783696891915,0.48814979836803946,0.5,no,hong
53558,arrowhead,nie,-0.006258819289605588,0.0031722041663928557,0.0,no,hong
53559,arrowhead,nie,-0.006258819289605588,0.0031722041663928557,0.0,yes,hong
53577,arrowhead,marginal,0.5088256878712429,0.3359242420041648,0.5,no,hong
53642,arrowhead,nie,0.030470571076116393,-0.13275528046474888,0.0,yes,hong
54622,IV,marginal,0.47201479513902733,0.5037768468156434,0.5,no,hong
54738,arrowhead,marginal,0.5718350076191245,0.4914765001928978,0.5,yes,hong
54767,arrowhead,marginal,0.4813273214769917,0.6560812349342228,0.5,yes,hong
54780,arrowhead,marginal,0.453376780128075,0.5360548952415115,0.5,no,hong
55742,IV,marginal,0.5501755382567064,0.4878252735097528,0.5,yes,hong
55743,IV,marginal,0.5501755382567064,0.4878252735097528,0.5,no,hong
55798,arrowhead,nie,0.03865681810746413,-0.03581057075899574,0.0,yes,hong
55812,arrowhead,nie,-0.0007781791612191807,0.009006095254466724,0.0,no,hong
55869,arrowhead,nie,-0.014526435088645873,0.10334733834790782,0.0,yes,hong
56555,confounding,marginal,0.5057653551990356,0.4551470468497702,0.5,no,hong
56754,frontdoor,marginal,0.5008810615080852,0.4957196381119619,0.5,yes,hong
56932,arrowhead,nie,-0.06109054629545285,0.09462137832062584,0.0,no,hong
56933,arrowhead,nie,-0.06109054629545285,0.09462137832062584,0.0,yes,hong
57982,IV,marginal,0.4781614071738805,0.5350215730585044,0.5,no,hong
57991,IV,marginal,0.4958862746576643,0.5069501437030691,0.5,yes,hong
58108,arrowhead,nie,0.03313017081811925,-0.029162576309435972,0.0,yes,hong
58809,mediation,marginal,0.5034023676694459,0.40920093910740163,0.5,no,hong
59078,IV,marginal,0.4393891546966643,0.5120726744422073,0.5,no,hong
59169,arrowhead,ate,-0.000930392633901489,0.00927472954459882,0.0,no,dung
59186,arrowhead,nie,-0.01934514036549384,0.029991871326044417,0.0,no,hong
59215,arrowhead,nie,0.02015859226804831,-0.016766995615283803,0.0,no,hong
59942,mediation,marginal,0.4702692255387086,0.6256622872629178,0.5,no,hong
60054,mediation,marginal,0.5254527351953427,0.49520834940728237,0.5,yes,hong
60306,arrowhead,nie,0.00511814543541278,-0.007068600665263602,0.0,yes,hong
60363,arrowhead,nie,-0.0008980597135452573,0.00803647040678715,0.0,no,dung
61004,confounding,marginal,0.495266361913636,0.5102598370205008,0.5,no,hong
61005,confounding,marginal,0.495266361913636,0.5102598370205008,0.5,yes,hong
61303,IV,marginal,0.4983534724949458,0.5002581509208704,0.5,yes,hong
61343,IV,marginal,0.48938132411217145,0.5472877183457141,0.5,yes,hong
61384,arrowhead,nie,-0.015720917923319228,0.015540199087795858,0.0,no,hong
61385,arrowhead,nie,-0.015720917923319228,0.015540199087795858,0.0,yes,hong
61512,arrowhead,nde,0.055111571241652724,-0.03811371336660252,0.0,yes,hong
62115,confounding,marginal,0.5330484527569044,0.4823627306526678,0.5,no,hong
62210,mediation,marginal,0.5210758419599377,0.45981139511162133,0.5,yes,hong
62565,arrowhead,marginal,0.42371442138355314,0.5134270997153642,0.5,yes,hong
62577,arrowhead,nde,0.03725704530009416,-0.04071696812915887,0.0,no,hong
63386,mediation,marginal,0.48481711953135126,0.5099537544634015,0.5,no,hong
63582,IV,marginal,0.42047486367511827,0.5076340969987485,0.5,no,hong
63641,arrowhead,nde,-0.010603021891052555,0.01735799678392219,0.0,yes,hong
63653,arrowhead,nie,-0.022882178419932342,0.05881221848267493,0.0,yes,hong
63710,arrowhead,nde,-0.014870075515996284,0.03515684975318034,0.0,no,hong
64746,arrowhead,nde,-0.08895416393206684,0.024602910925887567,0.0,no,hong
65435,confounding,marginal,0.4662547048540715,0.5135928576031455,0.5,yes,hong
65475,confounding,marginal,0.5604222629852696,0.42463586886587146,0.5,no,hong
65806,IV,marginal,0.5014583403386154,0.49901679093830587,0.5,yes,hong
65948,arrowhead,nie,-0.0014461539052724737,0.028210285517533684,0.0,no,hong
65989,arrowhead,ett,0.01834939630304494,-0.0057789052970939475,0.0,yes,dung
66980,arrowhead,ate,0.08162497353462561,-0.02940784716028766,0.0,yes,hong
66981,arrowhead,ate,0.08162497353462561,-0.02940784716028766,0.0,no,hong
67052,arrowhead,ett,0.0032773991204237407,-0.07026847639948583,0.0,no,dung
